Unnamed: 0.1,Unnamed: 0,Id_Number,Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional),GPT-4-Turbo_Binary_response,GPT-4-Turbo_milticlass_response,binary_ground_truth,binary_prediction,Should statements,Emotional Reasoning,Mental filter,Fortune-telling,Magnification,Labeling,All-or-nothing thinking,Mind Reading,Personalization,Overgeneralization,No Distortion
1496,1496,1414,"I have been thinking about my morality a lot lately since watching Death Note. I cant’ help but think about what I’d do if one dropped out of the sky; would I use it or not? For months now I’ve been questioning my morality. I’ve always said that no one should get the death penalty, but I find that I often go back on that without realising. I’ve been watching Dexter recently, (don’t think I’m romanticising his life or anything) and I can’t help but think that if I could get away with it, if a bad person was strapped down helpless on a table in front of me, that I would kill him. As well as that, for a long time I think I’ve been developing mild sadistic tendencies. I’ve never felt like hurting someone in real life but I love seeing characters suffer in their respective universes. I have been thinking about how this happened, and it made me think about a time 3-4 years ago when the ISIS beheading video came out. I was scared to watch it because it was real, but I wanted to see what death looked like. In the end I didn’t watch it, but I did watch the Facebook video of the homeless man being shot. The description on the website warned against watching, saying something along the lines of, ‘it’ll ruin your entire day’, but after I watched it I was just disappointed because of how anti-climactic it was. I know a guy died, but even now I just can’t get myself to care or feel sorry for him or his family, even though i know I should.","I know a guy died, but even now I just can’t get myself to care or feel sorry for him or his family, even though i know I should.",Should statements,,Yes,Should Statements,1,1,1,0,0,0,0,0,0,0,0,0,0
1020,1020,821,I don’t really know what to call it because it’s not so much an urge but just something i want to feel. I don’t have any mental illnesses at least not diagnosed professionally and i come from a loving middle-class family. For maybe a year or so now I’ve had the curiosity or want to know the feeling of pure hatred towards me. I want to kill somebody for the sole purpose of watching their family mourn and know that i killed them just to know how that feels. I want to torture somebody although i can’t see myself doing that. It’s almost as if it’s a craving really. I try to just not think about it and maybe it’ll stop but it’s always just kind of their not really strong but always noticeable in the back of my mind. I don’t really know what to do about it or if I need to do something. I’m just looking for some advice about it.,,No Distortion,,Yes,No Distortion,0,1,0,0,0,0,0,0,0,0,0,0,1
1662,1662,1580," I think I’m ruining my life. I can’t figure out what my problem is and I can’t help but feel like I’m exaggerating the depth of it. I’m currently in medical school – in my 2nd year. I’m supposed to be in the third but I failed my very first year. It’s been like cycle, everything is repeating itself all over again. I can’t explain why I failed my first year. I didn’t fail any exams – I just didn’t go. I kept lying to everyone about it. Summer came and I had to fess up. My dad wanted me to pull out but I insisted on going back because I knew I didn’t fail for the reasons he thought I did. It wasn’t because I couldn’t handle the workload – I just never tried. I gave up in an instant. No one forced me into medical school – I’m here on my own accord.",I can’t figure out what my problem is and I can’t help but feel like I’m exaggerating the depth of it.,Personalization,,Yes,Overgeneralization,1,1,0,0,0,0,0,0,0,0,1,0,0
1836,1836,1754,"Recently, I’ve been feeling sad, although I’m not sure that’s enough to see somebody. I’ve never had very high self esteem, and during high school I think I went through periods of depression. I even self-harmed during those times. The only person I’ve ever opened up to and relied on was my boyfriend, but he recently broke up with me before he went off to University. That has been getting to me because sometimes I feel like I’m mourning even though obviously he’s still alive. Currently, I’m stuck at home going to community college because I didn’t have good enough grades in high school, and I only have two close friends that I talk to daily (but not about this kind of stuff). I’ve been feeling lonely lately but I don’t know if it’s something to be worried about or not.",,No Distortion,,Yes,Emotional Reasoning,0,1,0,0,0,0,0,0,0,0,0,0,1
2519,2519,2553,"I feel overprotective about my mother because of the fact that I lost my grandparents almost 2 years ago. Since my maternal grandparents’ deaths a year and a half ago, I have been over-protective about my mother. I loved my grandparents very much. Both passed away at a month’s interval and it came as a shock to my mother as well as me. Since then, whenever my mother is out alone, I become hysterical. I constantly ask her not to go out alone, in the fear of losing her. I get so worried whenever she is sick or just catches a minor cold. My dad and I were never that close. I tried telling him how I feel but he dismissed it. When my mother is out alone, I keep on thinking what if something happens to her while she is on the road. I imagine all possible situations and I end up having crying spells. All throughout those hours I fail to concentrate on anything productive. I even discarded the idea of studying outside my State. I’m sure my dad won’t be able to take good care of her. And without mum I don’t even know how I’ll go on. I can’t even imagine a second not knowing if she’s OK. I don’t know if this over-protectiveness is good or bad. But I get the feeling that I keep losing everyone I love. (From India)","Since then, whenever my mother is out alone, I become hysterical. I constantly ask her not to go out alone, in the fear of losing her. I get so worried whenever she is sick or just catches a minor cold.  All throughout those hours I fail to concentrate on anything productive. I even discarded the idea of studying outside my State. I’m sure my dad won’t be able to take good care of her. And without mum I don’t even know how I’ll go on. I can’t even imagine a second not knowing if she’s OK. I don’t know if this over-protectiveness is good or bad. But I get the feeling that I keep losing everyone I love.",All-or-nothing thinking,Overgeneralization,Yes,"Fortune-telling
Emotional Reasoning",1,1,0,0,0,0,0,0,1,0,0,1,0
1618,1618,1536,Im 17 years old. ive lied about having an eating disorder and have been hospitalized many times. ive lied about trauma and have been hospitalized for it as well.,i live a normal life otherwise but i just lie so much i don’t know what’s wrong with me or why i do it and im too far in to stop now.,Personalization,,Yes,No Distortion,1,1,0,0,0,0,0,0,0,0,1,0,0
821,821,622,"From the U.K.: I’m engaged to be married to the love of my life. We really love each other so much and are due to marry very soon. I have issues with fear of abandonment which stem from my childhood. My father died and my mother didn’t really want me, she called me her burden. She frequently threatened to leave home and would go off for hours at a time. No wonder I struggle with fears of abandonment. Everyone I’ve ever cared for has gone one way or another.",No wonder I struggle with fears of abandonment. Everyone I’ve ever cared for has gone one way or another.,Overgeneralization,,Yes,Overgeneralization,1,1,0,0,0,0,0,0,0,0,0,1,0
1399,1399,1217,"I had a highly traumatic childhood of emotional abuse, smothering, and neglect at the hands of a substance-abusing parent. I was also molested through my diaper by older children as a toddler. I believe these led to the development of my severe, chronic dissociate disorder and OCD. I say all this for context, not as an excuse. As a kid, I had horrible violent and sexually deviant intrusive thoughts as well as PGAD in conjunction with them. I hated them and wanted nothing to do with them and tried to suppress them, but was convinced I was evil. Therapy has helped me realize they weren’t my fault back then. However, as a teen, I decided those thoughts were inevitable and began to let awful scenarios play out in my head instead of rejecting them and masturbated to some of them. I found online communities of people who shared these thoughts but considered them harmless “kinks” when explored only through fiction. I never intended to act on any of them and considered them divorced from my true opinions, but now I see they were still affecting me and I want nothing to do with them. I don’t believe an immoral fantasy can be harmless anymore. I became hyper-sexual and a chronic masturbator. My twin cousins who are 7 years younger than me slept in my room when they visited my house. I was around 15-17. When I knew they had fallen asleep, I silently masturbated. It happened a couple times. I think they were asleep and I don’t think they knew, but it haunts me everyday and the remorse and self-disgust I feel is indescribable. It had nothing to do with their presence, I just wanted to orgasm, but it was SO irresponsible of me no matter how careful I was. In the only other instance of this, I once compulsively touched myself through my pants in an upstairs room of their house, only for a sec, planning to stop before anyone entered. One of them walked in unexpectedly and I was mortified, but pretended I just had an itch, apologized, and went to wash my hands. I don’t know if I can tell my therapist, but it’s eating me alive. I don’t know if these instances count legally as indecency to a minor. If so, I’m ready to turn myself in. I want to kill myself.","I don’t know if I can tell my therapist, but it’s eating me alive. I don’t know if these instances count legally as indecency to a minor.",Magnification,,Yes,Personalization,1,1,0,0,0,0,1,0,0,0,0,0,0
1847,1847,1765,"From a teen in the UK: Okay so I was bullied during primary school by kids younger then me which made it so embarrassing that I never told anyone. They used to make fun of my weight and that’s where I think my issues began but I never acted on them. When I went to secondary school at about 12, although I wasn’t being bullied anymore, I went on a diet. Gradually I began restricting further and further until I became dangerously thin, by the time I was 13 I was in a dangerous state, believing that a banana would make me gain a ton of weight,",,No Distortion,,Yes,All-or-Nothing Thinking,0,1,0,0,0,0,0,0,0,0,0,0,1
1813,1813,1731,"I have created a fantasy world in my head with characters and one of them talks to me in my head. Often when I’m alone I will reply to them out loud. When I was younger it was good because I was never alone. But now it is causing me to see and hear things or people that aren’t there. My parents believe I have ADHD and it’s simply an overactive imagination but I’m not so sure. It has caused me to have nightmares and get this weird feeling like someone is following me. On one hand I see the world in a way that I would never be able to, but on the other hand it’s starting to drive me crazy. What makes it worse is I used to be able to do this thing where I could tell what people were thinking, but now I can’t do it. Instead when I look at people I get this horrible feeling that they’re thinking the worst of me. I have thought about taking my life but I always talk myself out of it because I wouldn’t want to hurt my family’s feelings or make them believe I didn’t care about them or they didn’t do a good job of being supportive for me.","What makes it worse is I used to be able to do this thing where I could tell what people were thinking, but now I can’t do it. Instead when I look at people I get this horrible feeling that they’re thinking the worst of me.",Mind Reading,,Yes,"Mind Reading
Fortune-telling",1,1,0,0,0,0,0,0,0,1,0,0,0
2440,2440,2469,From Iran: I am a PhD candidate of structural engineering. I have a proposal of marriage from a man who is a PhD of pharmacy and 35 years old. He is the faculty of a good university in my country. I think he suffers from depression. He does his works very slowly. He has so few friends and has not any special fun except listening to classic music and watching movie. He says that he wakes up easily by a weak sound at night.,I think he suffers from depression. He does his works very slowly. He has so few friends and has not any special fun except listening to classic music and watching movie. He says that he wakes up easily by a weak sound at night.,Magnification,,Yes,Mind Reading,1,1,0,0,0,0,1,0,0,0,0,0,0
70,70,4572,"I’m married to my husband for almost 9 years. We know each other 11 years. For the outside world, we are perfect couple, who loves adventure, travel, cooking and is madly in love. Behind the door is a different story. In the past 10 years, we’ve been straggling with my husband’s father, who had a stroke and now has a cancer. We were helping my in-laws in their difficult times.","For the outside world, we are perfect couple, who loves adventure, travel, cooking and is madly in love. Behind the door is a different story.",All-or-nothing thinking,,No,No Distortion,1,0,0,0,0,0,0,0,1,0,0,0,0
2048,2048,2052,"Okay so I’ve recently been diagnosed for OCD and now probably depression not taking anything for it, just trying to eat healthy and exercise. My main theme is psychopathy but I’ve had paedophile suicide I’ve had every theme. So much that I’m driving myself crazy ruminating about my childhood trying to find answers. I thought all of my anxiety had started after smoking pot and experiencing derealization when I was 14 but now after breaking my threshold and seeing back farther I’ve had major anxiety my whole life overthinking everything like back as far as I can go even little 4 year old me I can remember always being low or afraid of something always thinking the worst obsess obsess obsess that’s all I can remember. Now the excersize has been helping tremendously and I could do better at winding down and sleeping appropriately but it feels like if I had this as a child maybe ocd is all I am and my whole life has revolved around it so it’ll never get solved . I always thoughts childhood were full of happiness without ever looking back at mine. So I jus kinda want to know if kids can experience anxiety and low feeling that little or if I’m just seeing memories through my current state of mind and not feeling what it was really ? Your answers would be sooooooo appreciated and thank you!",So much that I’m driving myself crazy ruminating about my childhood trying to find answers. I thought all of my anxiety had started after smoking pot and experiencing derealization when I was 14 but now after breaking my threshold and seeing back farther I’ve had major anxiety my whole life overthinking everything like back as far as I can go even little 4 year old me I can remember always being low or afraid of something always thinking the worst obsess obsess obsess that’s all I can remember. Now the excersize has been helping tremendously and I could do better at winding down and sleeping appropriately but it feels like if I had this as a child maybe ocd is all I am and my whole life has revolved around it so it’ll never get solved .,Personalization,All-or-nothing thinking,Yes,Overgeneralization,1,1,0,0,0,0,0,0,1,0,1,0,0
1694,1694,1612,"I met my boyfriend nearly 2 years ago online. He is in the army and was soon to be sent to Afghanistan. He lived about 6 hours away from me but being that we just met I decided not to visit (for safety reasons). Once he was sent away, we became very close, we scheduled web cam dates, sent letters, emails, cards, etc.",,No Distortion,,No,No Distortion,0,0,0,0,0,0,0,0,0,0,0,0,1
1008,1008,809,"From a teen in the U.S.: For as long as I can remember, I have always felt uncomfortable both receiving and giving affection to others. I never viewed this as a problem until just recently. My girlfriend and I have been dating for almost two months now and she’s a very affectionate and supportive person. She seems to always find an excuse to be near me and I don’t have a problem with it. However, I worry that I’m not being as loving towards her as I feel I should be.","However, I worry that I’m not being as loving towards her as I feel I should be.",Should statements,,Yes,Should Statements,1,1,1,0,0,0,0,0,0,0,0,0,0
1442,1442,1260,"I’ve been in an online relationship a transgender girl for nearly two years and she’s struggled with depression and self-esteem issues since she came out as trans a few months prior to us getting together. She talks to me about how her parents don’t really seem to care about her. One time, her parents were watching a show that made fun of trans folk and they leered at her when she came into the room. Another time, her mom tried to make her out to be mentally retarded to get support money.",,No Distortion,,Yes,Mind Reading,0,1,0,0,0,0,0,0,0,0,0,0,1
2383,2383,2407,"From the U.S.: I am currently on my second medical leave due to worsening insomnia. I have always struggled with depression, but my depression has only worsened now that I am unable to function at work due to sleep loss. I feel therapists and psychiatrists always want to treat the depression and don’t know how to help with my sleep other than medication. I have read everything on sleep schedules, sleep hygiene, exercise, and now my parents want me to go to an inpatient psychiatric ward. The only solution I see there is constant structure and collaboration of care. I have seen sleep specialists and medications haven’t helped me. I will be out for 4 hours and wake up completely exhausted. Just looking for advice as to best next step so I can function. I just received a genetic test from a psychiatrist to check for which medications I would respond to.",I feel therapists and psychiatrists always want to treat the depression and don’t know how to help with my sleep other than medication.,Mind Reading,,Yes,No Distortion,1,1,0,0,0,0,0,0,0,1,0,0,0
2070,2070,2100,"Sometimes when I look in the mirror I am surprised at what I see. I recognize the reflection. I have seen the reflection countless times, but I do not recognize it as ME. It’s like something foreign. I used to be able to identify with it, but it has become increasingly difficult to do so. This is problem number 1.",,No Distortion,,Yes,No Distortion,0,1,0,0,0,0,0,0,0,0,0,0,1
2485,2485,2519,"Back in 6th grade, my best friend and I (both guys) would mess around and play truth or dare. We would always end up doing sexual things to each other. We didn’t tell anyone except one more guy who we played the game with once. In 8th grade I stopped playing, because I wanted to force myself to be attracted to girls. I am now in 12th grade, and I still do not get sexually aroused by girls. However, more bothering than that, I do get aroused by younger boys. I don’t know if it is because of my middle school experiences or what, but I don’t know how to change. I started hanging around a freshman boy at the start of the year, and we have done a few sexual things. I don’t think he is gay, but then again nobody would think I kinda am either. I have lots of friends, play sports and have had girlfriends like any other high school guy. I hang out with the “popular” people in my grade, and my future looks pretty good if it wasn’t for this gay/pedo problem. I look at other people classified as pedophiles, and I do not fit the category at all, except I have the same feelings towards boys. I will never kidnap or rape a kid, that’s for sure. But I want this weird arousal to go away, and I need to be attracted to girls. Any help would be very appreciated! This has been a very big problem for me and if you could please just give even a little advice it would mean a lot! (age 17, from US)","But I want this weird arousal to go away, and I need to be attracted to girls. ",Should statements,,Yes,Labeling,1,1,1,0,0,0,0,0,0,0,0,0,0
2293,2293,2301,"I suffer from trust issues. I tend to be afraid of everyone, question their motives and avoid engaging in social situations with people I haven’t known for a long time and therefore feel comfortable with. I think my relationship with my mother makes things worse. She keeps giving me advice and gets mad if I brush her off. Most of the time, she tells me to be careful, don’t come back late at night, don’t go into other people’s houses, don’t believe what everyone is saying. It makes me feel useless and stupid, like I can’t take care of myself. It also makes me second guess all my emotional attachments. As it is, I have never been in a relationship, because I never trust the men that try to ask me out. I am not particularly anxious about not being in a relationship but I do wonder whether or not I just don’t need a partner right now, or it is a self-imposed independence search. I understand the fact that my mother, like all mothers, is worried. She is also an anxious individual in her day to day life. However, she makes me anxious as well, up to the point where I fear getting hurt or running into problems, not because I’m trying to take care of myself, but because I’m afraid she will say “I told you so”. How can I make myself take her comments more lightly, but maintain my good relationship with her. With my father having died a year ago, I feel like we both need each other more than ever. I just wish she understood she is just worsening my already conflicted mental state and that at 22, it is far too late for her to try to dictate my social life. She warns me about the world being a dangerous place, then makes fun of my hermit status and lack of extended social circle. (From Romania)","As it is, I have never been in a relationship, because I never trust the men that try to ask me out.",Overgeneralization,,Yes,"Overgeneralization
Fortune-telling",1,1,0,0,0,0,0,0,0,0,0,1,0
2358,2358,2368,"Hi, Please help. In October 2013, my Granny had passed away due to a long term battle with Cancer. Shortly after this (January 2014) my Girlfriend of 6 years had developed Psychosis and spent the next few months going in and out of hospital. I have stayed with her for the past year and a half dealing with it. throughout the past year, I have had two friends that were getting rather violent and angry towards me and stopped talking to me as a result in April. I had a friend commit Suicide in May. I have other friends whom I talk to and see every now and then, However I feel as if they are avoiding me.","I have other friends whom I talk to and see every now and then, However I feel as if they are avoiding me.",Emotional Reasoning,,Yes,Mind Reading,1,1,0,1,0,0,0,0,0,0,0,0,0
1806,1806,1724,"My boyfriend and I have no contact for five weeks. We were both hospitalize for depression, anxiety, self-harm and suicide attempts. We became each others motivation to live. But now end-year exams starts and all communications are gone. Not even one text on weekends. It’s the first week out of five and I already got suicidal today and self-harmed for the first time in months. I started smoking again and I’m permanently with a cigarette in my hand. I honestly don’t know how I’m going to survive this, and the fact that he’s suicidal as well just means he’s probably going through the same thing. What if he doesn’t make it? I’m seeing a psychiatrist once a week, but I skip it these days to study plus I don’t really like talking about myself having a low self-esteem.. but I’m just scared now. Scared of myself. I can’t focus on the exams while I feel like this. Every second is torture. what hope can possibly be left? (From South Africa)",We became each others motivation to live. But now end-year exams starts and all communications are gone. Not even one text on weekends. It’s the first week out of five and I already got suicidal today and self-harmed for the first time in months.,All-or-nothing thinking,,Yes,"Fortune-telling
Mind Reading",1,1,0,0,0,0,0,0,1,0,0,0,0
1465,1465,1283,"My 2 best friends have been ignoring me for the past 4 weeks and I just spoke to both of them. They both said they don’t want to be friends anymore. This all started because they thought I was around them too much. One friend even said that dealing with me is stressful and bad for her health. I’m currently on the floor crying because I did nothing to deserve this and we were all fine the day before. I simply hung out with one friend after school twice and she got annoyed with me and wanted to be alone yet didn’t tell me. So in 30 minutes of speaking with both of them, I have lost 2 of my closest friends. Also we all have the same friends because we are all in the same friend group. (From the USA)",,No Distortion,,Yes,Overgeneralization,0,1,0,0,0,0,0,0,0,0,0,0,1
1960,1960,1878,"From Panama: It has been going for a while now, but I realized about a couple of weeks ago. It seems like a really bad habit, but now I’m not sure if it’s just a habit. I have a lot of interests. I like researching and finding out what I like, but that also happens to be a bad thing since when I find an interest and I decide to pursue it, after little time, I give up on it. I don’t know why, but I always seem to do it. It’s like I lose interest, or whatever motivation I had in the first place. For example, a couple of weeks ago I had decided to write a book. I’ve always loved writing and reading, even when I was younger. Reading is certainly an addiction, while writing fills me with satisfaction. So I started creating the plot and organizing the story, because I wanted to do it perfectly. I started making summaries per chapter so that when I actually start to write, I know what goes on in the chapter. I was so pumped about it. I felt like this time, I was going to do it right. Until a few days ago. The book was just by the half. I stopped logging in my computer. I stopped looking for words. I stopped having interest. I simply stopped wanting to write. And I know that it’s not writers block, because I knew what I had to write, I just didn’t want to. And I’m so annoyed about it, because I was telling myself at the beginning: “Don’t worry, you’ll totally make it through the end this time.” And once again, I’ve failed to complete it. And not just in writing, I also quit tap dancing, piano lessons, TV shows, you name it. And I’m disgusted by this because I want to finish stuff, but then I don’t. I’ve never been diagnosed with depression and anxiety disorders, but I’m pretty certain I have them. I’ve never checked myself because my parents have enough troubles on their own. I have also insulin resistance and tachycardia (they are aware), so I don’t want to trouble them with something as big as depression and anxiety that may just be all up in my head and possibly not be true. I just keep everything inside, and wait until it all goes away. Please help me.","And I’m disgusted by this because I want to finish stuff, but then I don’t.",Personalization,,Yes,Overgeneralization,1,1,0,0,0,0,0,0,0,0,1,0,0
2521,2521,2556,"Hello, I’m currently a 14 year old girl (turning 15 in May) and I am soon going to finish my second year at the same school. I had been living elsewhere with a completely different lifestyle. Due to financial issues I had been forced to move to my hometown with my family but without my father. During my first year here I had been severely depressed. At times I was highly tempted to cut my arms or simply climb up to the roof and jump but luckily I refused to do either. During this time I refused to speak to anyone and I had noticeably started spending more time with my online ‘friends’. This continued on for several months and when school had started it seemingly got worse. I had made one friend during my first year, and if it hadn’t been for the fact that she had also been in a somewhat similar situation I would have never spoken to her.",,No Distortion,,Yes,No Distortion,0,1,0,0,0,0,0,0,0,0,0,0,1
948,948,749,From a teen in the U.S.: Well I was physically abused as a child by my father and emotionally abused by my mother all my life. I had abandonment issues after my parents split up and people who raised me walked out. Depersonalistion and derealisation were heavy in my life and i always felt out of place and heard voices which i saw as my friends and saw shadows.,Depersonalistion and derealisation were heavy in my life and i always felt out of place and heard voices which i saw as my friends and saw shadows.,Overgeneralization,,Yes,No Distortion,1,1,0,0,0,0,0,0,0,0,0,1,0
